Id,Date,Schl,Loc,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
354,2012-12-05,Gonzaga,@,Washington St.,W 71-69,200,28,55,.509,21,39,.538,7,16,.438,8,15,.533,71,24,53,.453,14,26,.538,10,27,.370,11,18,.611,69
355,2012-12-01,Gonzaga,,Pacific,W 85-67,200,28,59,.475,22,36,.611,6,23,.261,23,28,.821,85,23,49,.469,13,30,.433,10,19,.526,11,19,.579,67
356,2012-11-29,Gonzaga,,Lewis & Clark,W 104-57,200,43,67,.642,32,47,.681,11,20,.550,7,15,.467,104,22,59,.373,14,37,.378,8,22,.364,5,7,.714,57
357,2012-11-25,Gonzaga,N,Davidson,W 81-67,200,27,49,.551,20,35,.571,7,14,.500,20,29,.690,81,21,58,.362,15,39,.385,6,19,.316,19,21,.905,67
358,2012-11-23,Gonzaga,N,Oklahoma,W 72-47,200,27,59,.458,21,37,.568,6,22,.273,12,19,.632,72,16,50,.320,11,34,.324,5,16,.313,10,15,.667,47
359,2012-11-22,Gonzaga,N,Clemson,W 57-49,200,23,47,.489,21,36,.583,2,11,.182,9,15,.600,57,18,58,.310,12,36,.333,6,22,.273,7,11,.636,49
360,2012-11-18,Gonzaga,,South Dakota,W 96-58,200,42,76,.553,34,53,.642,8,23,.348,4,15,.267,96,21,62,.339,11,34,.324,10,28,.357,6,9,.667,58
361,2012-11-12,Gonzaga,,West Virginia,W 84-50,200,26,50,.520,17,34,.500,9,16,.563,23,36,.639,84,15,55,.273,12,29,.414,3,26,.115,17,25,.680,50
362,2012-11-09,Gonzaga,,Southern Utah,W 103-65,200,40,73,.548,34,60,.567,6,13,.462,17,30,.567,103,27,55,.491,23,38,.605,4,17,.235,7,11,.636,65
363,2012-03-17,Gonzaga,N,Ohio State,L 66-73,200,22,56,.393,14,33,.424,8,23,.348,14,19,.737,66,25,53,.472,16,29,.552,9,24,.375,14,18,.778,73
364,2012-03-15,Gonzaga,N,West Virginia,W 77-54,200,28,50,.560,19,33,.576,9,17,.529,12,16,.750,77,16,49,.327,13,32,.406,3,17,.176,19,28,.679,54
365,2012-03-05,Gonzaga,N,Saint Mary's,L 74-78 (OT),225,30,69,.435,25,47,.532,5,22,.227,9,11,.818,74,28,63,.444,20,40,.500,8,23,.348,14,20,.700,78
366,2012-03-03,Gonzaga,N,BYU,W 77-58,200,29,53,.547,22,38,.579,7,15,.467,12,19,.632,77,20,53,.377,17,35,.486,3,18,.167,15,24,.625,58
367,2012-02-27,Gonzaga,,Longwood,W 92-60,200,35,64,.547,22,35,.629,13,29,.448,9,14,.643,92,23,58,.397,15,33,.455,8,25,.320,6,7,.857,60
368,2012-02-25,Gonzaga,@,San Diego,W 65-57,200,19,44,.432,12,31,.387,7,13,.538,20,27,.741,65,22,53,.415,16,30,.533,6,23,.261,7,15,.467,57
369,2012-02-23,Gonzaga,,BYU,W 74-63,200,16,41,.390,10,28,.357,6,13,.462,36,44,.818,74,24,78,.308,18,50,.360,6,28,.214,9,16,.563,63
370,2012-02-18,Gonzaga,@,San Francisco,L 65-66,200,24,47,.511,17,29,.586,7,18,.389,10,12,.833,65,26,53,.491,22,39,.564,4,14,.286,10,17,.588,66
371,2012-02-16,Gonzaga,@,Santa Clara,W 73-62,200,25,41,.610,22,32,.688,3,9,.333,20,27,.741,73,22,58,.379,12,37,.324,10,21,.476,8,11,.727,62
372,2012-02-11,Gonzaga,,Loyola Marymount,W 78-59,200,27,52,.519,20,31,.645,7,21,.333,17,19,.895,78,22,56,.393,16,33,.485,6,23,.261,9,12,.750,59
373,2012-02-09,Gonzaga,,Saint Mary's,W 73-59,200,28,53,.528,21,38,.553,7,15,.467,10,19,.526,73,21,55,.382,16,34,.471,5,21,.238,12,17,.706,59
374,2012-02-04,Gonzaga,@,Pepperdine,W 72-60,200,22,44,.500,15,28,.536,7,16,.438,21,28,.750,72,23,54,.426,15,33,.455,8,21,.381,6,12,.500,60
375,2012-02-02,Gonzaga,@,BYU,L 73-83,200,25,61,.410,22,42,.524,3,19,.158,20,28,.714,73,34,69,.493,31,57,.544,3,12,.250,12,17,.706,83
376,2012-01-26,Gonzaga,@,Portland,W 74-62,200,24,51,.471,23,40,.575,1,11,.091,25,31,.806,74,25,58,.431,19,37,.514,6,21,.286,6,10,.600,62
377,2012-01-21,Gonzaga,,San Diego,W 77-60,200,29,58,.500,25,47,.532,4,11,.364,15,20,.750,77,26,61,.426,21,44,.477,5,17,.294,3,6,.500,60
